fabian	remolina	carnes	durham_lifspan	durham_fecundityw1	durham_fecundityw3	durham_fecundityw5	durham_fecundityw7	durham_fecundityLifetime	huang_DGRP	huang_AIP	ours_HS_C_1kb	ours_HS_1kb	ours_C_1kb	hoedjes_lifespan	hoedjes_diet	hoedjes_diet_lifespan	genAge_dmel
FBgn0040364	FBgn0035445	FBgn0028509	NA	NA	NA	FBgn0000119	FBgn0034412	NA	FBgn0028857	FBgn0025457	FBgn0005596	FBgn0024491	FBgn0058178	FBgn0052072	FBgn0034439	FBgn0036516	FBgn0033782
FBgn0040362	FBgn0035436	FBgn0034644	NA	NA	NA	FBgn0033853	FBgn0034418	NA	FBgn0029657	FBgn0040491	FBgn0005616	FBgn0024558	FBgn0058263	FBgn0052117	FBgn0034693	FBgn0036732	FBgn0014391
FBgn0040359	FBgn0035429	FBgn0039084	NA	NA	NA	FBgn0022063	FBgn0010434	NA	FBgn0030181	FBgn0259176	FBgn0005638	FBgn0024740	FBgn0058470	FBgn0052227	FBgn0034709	FBgn0037976	FBcl0448172
FBgn0029568	FBgn0027903	FBgn0038397	NA	NA	NA	FBgn0033990	FBgn0086358	NA	FBgn0046294	FBgn0031150	FBgn0005775	FBgn0024804	FBgn0069969	FBgn0052373	FBgn0034725	FBgn0038629	FBgn0029117
FBgn0040367	FBgn0035273	FBgn0038394	NA	NA	NA	FBgn0264378	FBgn0026378	NA	FBgn0030666	FBgn0265598	FBgn0008651	FBgn0026160	FBgn0083053	FBgn0052529	FBgn0034726	FBgn0040297	FBgn0021796
FBgn0040363	FBgn0035283	FBgn0038420	NA	NA	NA	FBgn0015371	FBgn0011897	NA	FBgn0033645	FBgn0020556	FBgn0010052	FBgn0026189	FBgn0083054	FBgn0052666	FBgn0034730	FBgn0040333	FBcl0414292
FBgn0039671	FBgn0035285	FBgn0038423	NA	NA	NA	FBgn0262446	FBgn0034475	NA	FBgn0035611	FBgn0001991	FBgn0010113	FBgn0026433	FBgn0085391	FBgn0053346	FBgn0034740	FBgn0040397	FBgn0040070
FBgn0039749	FBgn0035421	FBgn0032700	NA	NA	NA	FBgn0034420	FBgn0034476	NA	FBgn0035643	FBgn0264386	FBgn0010223	FBgn0026577	FBgn0085638	FBgn0061435	FBgn0034756	FBgn0040602	FBcl0398631
FBgn0035437	FBgn0035263	FBgn0032707	NA	NA	NA	FBgn0034475	FBgn0086604	NA	FBgn0036799	FBgn0263111	FBgn0010226	FBgn0026713	FBgn0086600	FBgn0085382	FBgn0036454	FBgn0040967	FBgn0029752
FBgn0040648	FBgn0035426	FBgn0034731	NA	NA	NA	FBgn0086604	FBgn0250850	NA	FBgn0034723	FBgn0037963	FBgn0010228	FBgn0027506	FBgn0086655	FBgn0085391	FBgn0036465	FBgn0045852	FBcl0413544
FBgn0030678	FBgn0035402	FBgn0038395	NA	NA	NA	FBgn0034606	FBgn0034552	NA	FBgn0034942	FBgn0038247	FBgn0010246	FBgn0027581	FBgn0250816	FBgn0086655	FBgn0036759	FBgn0046302	FBgn0026317
FBgn0031115	FBgn0043458	FBgn0039296	NA	NA	NA	FBgn0085426	FBgn0034553	NA	FBgn0036773	FBgn0015609	FBgn0010280	FBgn0027589	FBgn0259152	FBgn0086782	FBgn0036977	FBgn0046776	FBti0109509
FBgn0030346	FBgn0035227	FBgn0035649	NA	NA	NA	FBgn0034643	FBgn0034554	NA	FBgn0039054	FBgn0262018	FBgn0010382	FBgn0027660	FBgn0259697	FBgn0259139	FBgn0036978	FBgn0050404	FBcl0445243
FBgn0039616	FBgn0035228	FBgn0035612	NA	NA	NA	FBgn0034647	FBgn0040653	NA	FBgn0035162	FBgn0012051	FBgn0010411	FBgn0028369	FBgn0259795	FBgn0259145	FBgn0036993	FBgn0050440	FBgn0027779
