lfc_ctrl	p_ctrl	FDR_ctrl	lfc_hs	p_hs	FDR_hs	diffexp_in	lfc_1
FBgn0023520	-0.409666805958047	0.00747560543075802	0.018543983803161	0.123804500008691	0.34256510320951	0.489154644365751	ctrl	no
FBgn0023512	-0.403405306279306	0.00268538021850386	0.00756215817465677	0.291468798935937	0.0134879919765183	0.0444106885139357	both	no
FBgn0023511	0.508307238479382	2.54912910226255e-07	1.86861948631267e-06	0.373682702787059	3.19650475974482e-05	0.00024011139408198	both	no
FBgn0023518	-0.0310468384652072	0.849730667138887	0.896810117174719	0.110597570215212	0.450436158314105	0.595291278362811	none	no
FBgn0026088	-0.192902881008694	0.0062528965165034	0.0158463815829196	-0.359066037953552	3.9034644995069e-08	5.06614922855147e-07	both	no
FBgn0026089	-0.522903806973509	6.3996792829938e-08	5.49154869291488e-07	-0.312087387325604	0.000378861979505735	0.00218220501651984	both	no
FBgn0023517	-0.73270889077381	1.56885739263597e-05	7.61070152916516e-05	-0.0291851207446997	0.833556605743446	0.898417137522436	ctrl	no
FBgn0023516	0.0265867445136569	0.771080585161414	0.843997652129647	0.0365263925403669	0.659720422169495	0.77487418970962	none	no
FBgn0023515	-1.16543090024873	1.20993851884452e-05	6.01661910395806e-05	0.178890734325754	0.322569213067892	0.468446375816397	ctrl	yes
FBgn0028969	0.156090466477203	0.00283142339377055	0.00792232410740979	0.226473796576053	1.96998908841905e-06	1.86815211990391e-05	both	no
FBgn0026090	0.46635236086008	2.13552544284646e-09	2.50288416975831e-08	0.365186105269076	3.66461509427659e-07	4.03625365832785e-06	both	no
FBgn0025624	1.00571557356752	3.03718016617686e-13	6.87776379954780e-12	0.629851456386468	5.03577579556586e-07	5.41716598961778e-06	both	yes
FBgn0040395	0.115452560444823	0.267675622322595	0.399386549640193	0.0634137968061633	0.510904981905004	0.649717800010849	none	no
FBgn0000382	0.527170244882993	2.72717592294338e-09	3.12024373154371e-08	0.420487293061543	2.61789458758632e-07	2.97649160661507e-06	both	no
FBgn0023507	0.278148577288494	0.0167969903587807	0.0378096823605054	-0.102076488270538	0.339672152657196	0.486359903745677	ctrl	no
FBgn0004654	0.0873799031992486	0.338351954173871	0.479002798937458	-0.165257507614252	0.0522028052396069	0.119855620359762	none	no
FBgn0023540	-0.799432987134699	2.7263249775179e-09	3.12024373154371e-08	-1.09895244302866	4.7353528680461e-18	1.69463529687617e-16	both	yes
FBgn0025839	-0.859245170412551	1.31164461731348e-24	8.57281496884828e-23	-0.933432588010481	1.77743878722697e-33	1.83025890213041e-31	both	no
FBgn0015036	-0.637207656733162	0.00573707642141923	0.0147030263300753	-0.761291106384747	0.000452234750950577	0.0025300575636215	both	no
FBgn0003116	-0.108553439135963	0.405634258381842	0.545728821673586	-0.0826633165757136	0.474434372721485	0.618174904888983	none	no
FBgn0040899	-0.314789251406852	0.000181830757319634	0.000686029283146839	-0.185411266256389	0.0157397084354448	0.0502482941131559	none	no
FBgn0040900	-0.601309617693848	0.00116102725227215	0.00361248929833254	-1.35582874786522	3.45195620920941e-13	8.15543333842441e-12	both	yes
FBgn0024984	-1.97430311933136	4.57565690536972e-07	3.19944235247344e-06	0.0152851775943031	0.936640269609298	0.961974921558355	ctrl	yes
FBgn0023549	0.0665788378072475	0.584079617292377	0.701268179820294	0.00601057146939711	0.959966456513708	0.976577924082525	none	no
FBgn0003048	0.287055540653386	0.0587069595204479	0.111752086356067	0.428387794926965	0.00222504367622588	0.0101235313572344	hs	no
FBgn0000810	-0.0896516071649073	0.475280608545092	0.61103508153942	0.393936243853233	0.00069797489143381	0.00372537698777508	hs	no
FBgn0023527	-0.992736012886395	1.97571916531052e-05	9.36792992587504e-05	0.0782033484914199	0.639879278219835	0.758742707093148	ctrl	no
FBgn0003079	0.159689795313817	0.226650184867195	0.34932035693666	0.0812330480131892	0.494534847387854	0.635339908102452	none	no
FBgn0003159	0.21380645996311	0.0235873071122135	0.0507401373925524	-0.0206736699827185	0.810430482765928	0.882819233472067	none	no
