shared_DEG	gxe_DEG	allgenesdeg	shared_entrez	gxe_entrez	all_entrez
FBgn0051072	NA	FBgn0014024	43223	NA	31448
FBgn0039479	NA	FBgn0029752	43257	NA	31443
FBgn0039480	NA	FBgn0029751	43258	NA	31440
FBgn0039481	NA	FBgn0052767	43259	NA	31430
FBgn0015737	NA	FBgn0026751	43294	NA	31451
FBgn0004387	NA	FBgn0010014	43310	NA	44317
FBgn0002772	NA	FBgn0029761	43323	NA	31456
FBgn0039596	NA	FBgn0029763	43394	NA	31458
FBgn0015589	NA	FBgn0029765	44642	NA	31460
FBgn0264324	NA	FBgn0029766	43404	NA	31461
FBgn0265998	NA	FBgn0029768	43415	NA	31463
FBgn0039620	NA	FBgn0029770	43420	NA	31465
FBgn0039637	NA	FBgn0029771	43440	NA	31466
FBgn0039667	NA	FBgn0026702	43475	NA	31475
FBgn0039674	NA	FBgn0004687	43483	NA	31474
FBgn0001297	NA	FBgn0029778	3772082	NA	31473
FBgn0039719	NA	FBgn0052762	43538	NA	318198
FBgn0003358	NA	FBgn0029769	43545	NA	31464
FBgn0039728	NA	FBgn0029762	43552	NA	31457
FBgn0039737	NA	FBgn0029756	43562	NA	31450
FBgn0266411	NA	FBgn0028474	43580	NA	31481
FBgn0004606	NA	FBgn0029785	43650	NA	31483
FBgn0027598	NA	FBgn0000394	43654	NA	44510
FBgn0039805	NA	FBgn0029791	43657	NA	31490
FBgn0039836	NA	FBgn0029798	43699	NA	31497
FBgn0028369	NA	FBgn0029801	31292	NA	31500
FBgn0003053	NA	FBgn0029809	31391	NA	31508
FBgn0085446	NA	FBgn0029810	31591	NA	31509
FBgn0259228	NA	FBgn0029812	31618	NA	31511
FBgn0263968	NA	FBgn0029814	31625	NA	31513
FBgn0261873	NA	FBgn0029816	44861	NA	31515
FBgn0261260	NA	FBgn0029817	8674055	NA	31516
FBgn0030928	NA	FBgn0029821	32834	NA	31522
FBgn0031016	NA	FBgn0029822	32930	NA	31523
NA	NA	FBgn0029823	NA	NA	31524
NA	NA	FBgn0029819	NA	NA	31519
NA	NA	FBgn0014340	NA	NA	31518
NA	NA	FBgn0029818	NA	NA	31517
NA	NA	FBgn0029813	NA	NA	31512
NA	NA	FBgn0013987	NA	NA	44573
NA	NA	FBgn0029800	NA	NA	31499
NA	NA	FBgn0261383	NA	NA	31496
NA	NA	FBgn0052758	NA	NA	31493
NA	NA	FBgn0053080	NA	NA	31491
NA	NA	FBgn0027564	NA	NA	31489
NA	NA	FBgn0029789	NA	NA	31487
NA	NA	FBgn0046687	NA	NA	140439
NA	NA	FBgn0015794	NA	NA	44360
NA	NA	FBgn0029824	NA	NA	31525
NA	NA	FBgn0029825	NA	NA	31526
NA	NA	FBgn0052756	NA	NA	318193
NA	NA	FBgn0029826	NA	NA	31527
NA	NA	FBgn0052755	NA	NA	318192
NA	NA	FBgn0029827	NA	NA	31528
NA	NA	FBgn0029828	NA	NA	31529
NA	NA	FBgn0029830	NA	NA	50391
NA	NA	FBgn0029831	NA	NA	31532
NA	NA	FBgn0029833	NA	NA	31536
NA	NA	FBgn0029834	NA	NA	31537
NA	NA	FBgn0029835	NA	NA	31538
NA	NA	FBgn0029843	NA	NA	31547
NA	NA	FBgn0029849	NA	NA	31553
NA	NA	FBgn0003514	NA	NA	31554
NA	NA	FBgn0040069	NA	NA	31551
NA	NA	FBgn0052751	NA	NA	318189
NA	NA	FBgn0029839	NA	NA	31542
NA	NA	FBgn0029838	NA	NA	31541
NA	NA	FBgn0029837	NA	NA	31540
NA	NA	FBgn0003302	NA	NA	31535
NA	NA	FBgn0029003	NA	NA	NA
NA	NA	FBgn0027546	NA	NA	31533
NA	NA	FBgn0005390	NA	NA	45994
NA	NA	FBgn0029851	NA	NA	31556
NA	NA	FBgn0015818	NA	NA	31558
NA	NA	FBgn0028982	NA	NA	44000
NA	NA	FBgn0029857	NA	NA	31566
NA	NA	FBgn0029858	NA	NA	31568
NA	NA	FBgn0029861	NA	NA	31571
NA	NA	FBgn0029863	NA	NA	31573
NA	NA	FBgn0029864	NA	NA	31574
NA	NA	FBgn0029866	NA	NA	31576
NA	NA	FBgn0029867	NA	NA	31577
NA	NA	FBgn0029873	NA	NA	31585
NA	NA	FBgn0014031	NA	NA	31587
NA	NA	FBgn0000524	NA	NA	31589
NA	NA	FBgn0014026	NA	NA	31588
NA	NA	FBgn0029874	NA	NA	31586
NA	NA	FBgn0003139	NA	NA	31582
NA	NA	FBgn0003655	NA	NA	31580
NA	NA	FBgn0016974	NA	NA	NA
NA	NA	FBgn0029868	NA	NA	31578
NA	NA	FBgn0043796	NA	NA	31572
NA	NA	FBgn0028685	NA	NA	31567
NA	NA	FBgn0011244	NA	NA	48572
NA	NA	FBgn0031275	NA	NA	33248
NA	NA	FBgn0031276	NA	NA	33249
NA	NA	FBgn0040725	NA	NA	50198
NA	NA	FBgn0031277	NA	NA	33250
NA	NA	FBgn0031279	NA	NA	33252
NA	NA	FBgn0051658	NA	NA	318874
NA	NA	FBgn0031282	NA	NA	33256
NA	NA	FBgn0015621	NA	NA	33259
NA	NA	FBgn0010583	NA	NA	33262
NA	NA	FBgn0020545	NA	NA	33265
NA	NA	FBgn0031288	NA	NA	33266
NA	NA	FBgn0031289	NA	NA	33267
NA	NA	FBgn0002563	NA	NA	33274
NA	NA	FBgn0046113	NA	NA	33275
NA	NA	FBgn0031292	NA	NA	33272
NA	NA	FBgn0020305	NA	NA	33269
NA	NA	FBgn0029095	NA	NA	33268
NA	NA	FBgn0031287	NA	NA	33264
NA	NA	FBgn0020304	NA	NA	33263
NA	NA	FBgn0031286	NA	NA	33261
NA	NA	FBgn0031284	NA	NA	33258
NA	NA	FBgn0031281	NA	NA	33255
NA	NA	FBgn0026438	NA	NA	33247
NA	NA	FBgn0040106	NA	NA	33242
NA	NA	FBgn0004611	NA	NA	33204
NA	NA	FBgn0003278	NA	NA	33210
NA	NA	FBgn0002593	NA	NA	33214
NA	NA	FBgn0004583	NA	NA	33218
NA	NA	FBgn0031256	NA	NA	33220
NA	NA	FBgn0031257	NA	NA	33221
NA	NA	FBgn0027592	NA	NA	33223
NA	NA	FBgn0003963	NA	NA	33225
NA	NA	FBgn0031263	NA	NA	33231
NA	NA	FBgn0031265	NA	NA	33233
NA	NA	FBgn0031266	NA	NA	33235
NA	NA	FBgn0031268	NA	NA	33237
NA	NA	FBgn0023489	NA	NA	33239
NA	NA	FBgn0013323	NA	NA	33238
NA	NA	FBgn0031267	NA	NA	33236
NA	NA	FBgn0021874	NA	NA	33234
NA	NA	FBgn0031264	NA	NA	33232
NA	NA	FBgn0005660	NA	NA	33229
NA	NA	FBgn0031260	NA	NA	33227
